date_key,year,quarter,quarter_label
2021000,2021,1,Q1 2021
2021001,2021,2,Q2 2021
2021002,2021,3,Q3 2021
2021003,2021,4,Q4 2021
2021004,2022,1,Q1 2022
2021005,2022,2,Q2 2022
2021006,2022,3,Q3 2022
2021007,2022,4,Q4 2022
2021008,2023,1,Q1 2023
2021009,2023,2,Q2 2023
2021010,2023,3,Q3 2023
2021011,2023,4,Q4 2023
2021012,2024,1,Q1 2024
2021013,2024,2,Q2 2024
2021014,2024,3,Q3 2024
2021015,2024,4,Q4 2024
2021016,2025,1,Q1 2025
2021017,2025,2,Q2 2025
2021018,2025,3,Q3 2025
2021019,2025,4,Q4 2025
